bgrp,IWDP_Pop,BWDP_Pop,IWDP_Pct,BWDP_Pct
420034610001,357,727,32.9300003052,67.0699996948
420034621001,2,641,0.310000002384,99.6900024414
420034621002,0,600,0.0,100.0
420034621003,0,1378,0.0,100.0
420034626001,218,658,24.8899993896,75.1100006104
420034626002,0,861,0.0,100.0
420034626003,0,769,0.0,100.0
420034626004,308,882,25.8799991608,74.1200027466
420034639001,301,891,25.25,74.75
420034639002,509,219,69.9199981689,30.0799999237
420034639003,742,0,100.0,0.0
420034643001,670,627,51.6599998474,48.3400001526
420034643002,287,502,36.3800010681,63.6199989319
420034643003,492,173,73.9800033569,26.0200004578
420034643004,118,461,20.3799991608,79.6200027466
420034644001,231,216,51.6800003052,48.3199996948
420034644002,736,186,79.8300018311,20.1700000763
420034644003,452,629,41.8100013733,58.1899986267
420034644004,934,58,94.1500015259,5.84999990463
420034656001,900,95,90.4499969482,9.55000019073
420034656002,1330,45,96.7300033569,3.26999998093
420034658001,542,1003,35.0800018311,64.9199981689
420034658002,262,879,22.9599990845,77.0400009155
420034658003,586,306,65.6999969482,34.2999992371
420034687001,8,1055,0.75,99.25
420034687002,0,696,0.0,100.0
420034688001,10,611,1.61000001431,98.3899993896
420034688002,589,124,82.6100006104,17.3899993896
420034688003,908,330,73.3399963379,26.6599998474
420034689001,627,650,49.0999984741,50.9000015259
420034689002,181,752,19.3999996185,80.5999984741
420034689003,0,1431,0.0,100.0
420034690001,562,510,52.4300003052,47.5699996948
420034690002,904,1498,37.6399993896,62.3600006104
420034690003,325,633,33.9199981689,66.0800018311
420034703001,312,1309,19.25,80.75
420034703002,37,2275,1.60000002384,98.4000015259
420034704001,0,925,0.0,100.0
420034704002,10,718,1.37000000477,98.6299972534
420034704003,0,1410,0.0,100.0
420034705011,1498,1002,59.9199981689,40.0800018311
420034705012,7,1447,0.479999989271,99.5199966431
420034705021,239,1247,16.0799999237,83.9199981689
420034705022,3,1482,0.20000000298,99.8000030518
420034706001,265,1392,15.9899997711,84.0100021362
420034706002,2,724,0.280000001192,99.7200012207
420034706003,0,720,0.0,100.0
420034710001,1213,31,97.5100021362,2.49000000954
420034721001,513,963,34.7599983215,65.2399978638
420034721002,562,481,53.8800010681,46.1199989319
420034722001,723,196,78.6699981689,21.3299999237
420034722002,583,0,100.0,0.0
420034722003,724,1,99.8600006104,0.140000000596
420034723001,439,178,71.1500015259,28.8500003815
420034723002,815,16,98.0699996948,1.92999994755
420034723003,566,0,100.0,0.0
420034724001,488,546,47.2000007629,52.7999992371
420034724002,119,675,14.9899997711,85.0100021362
420034731001,558,847,39.7200012207,60.2799987793
420034731002,340,416,44.9700012207,55.0299987793
420034731003,795,116,87.2699966431,12.7299995422
420034731004,566,122,82.2699966431,17.7299995422
420034731005,974,0,100.0,0.0
420034732001,697,266,72.3799972534,27.6200008392
420034732002,696,318,68.6399993896,31.3600006104
420034732003,866,349,71.2799987793,28.7199993134
420034733001,760,453,62.6500015259,37.3499984741
420034733002,639,666,48.9700012207,51.0299987793
420034733003,31,1208,2.5,97.5
420034733004,0,1045,0.0,100.0
420034733005,13,687,1.86000001431,98.1399993896
420034734011,0,696,0.0,100.0
420034734012,54,546,9.0,91.0
